"Code"	"Genus"	"Species"	"sex"	"Veine"	"Poil"	"Type.Poil"	"LongueurTot1"	"LongueurTot2"	"LongueurEchancrure"	"Largeur.Base"	"Largeur.Echancrure1"	"Largeur.Echancrure2"
"20369"	"Heterosais"	"nephele"	"m"	"V4"	"P7"	"monofide"	176.55	NA	NA	4.73	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V4"	"P8"	"monofide"	156.14	NA	NA	4.49	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V4"	"P9"	"monofide"	194.16	NA	NA	4.71	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V4"	"P10"	"monofide"	158.91	NA	NA	5.04	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V3"	"P6"	"monofide"	157.98	NA	NA	3.68	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V3"	"P7"	"monofide"	144.09	NA	NA	3.72	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V3"	"P8"	"monofide"	204.64	NA	NA	5.58	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V3"	"P9"	"monofide"	237.4	NA	NA	5	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V3"	"P10"	"monofide"	248.4	NA	NA	4.7	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V4"	"P1"	"monofide"	263.4	NA	NA	5.19	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V4"	"P2"	"monofide"	280.8	NA	NA	5.8	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V4"	"P3"	"monofide"	318.1	NA	NA	4.9	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V4"	"P4"	"monofide"	247.02	NA	NA	5.76	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V4"	"P5"	"monofide"	268.77	NA	NA	5.54	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V4"	"P6"	"monofide"	226.95	NA	NA	4.68	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V4"	"P7"	"monofide"	268.2	NA	NA	4.9	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V4"	"P8"	"monofide"	165.4	NA	NA	4.6	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V4"	"P9"	"monofide"	206.79	NA	NA	6.02	NA	NA
"20545"	"Heterosais"	"nephele"	"m"	"V4"	"P10"	"monofide"	217.2	NA	NA	4.26	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V3"	"P6"	"monofide"	158.43	NA	NA	4.01	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V3"	"P7"	"monofide"	176.95	NA	NA	4.32	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V3"	"P8"	"monofide"	164.96	NA	NA	4.22	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V3"	"P9"	"monofide"	216.28	NA	NA	4.97	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V3"	"P10"	"monofide"	225.69	NA	NA	4.37	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V4"	"P1"	"monofide"	325.7	NA	NA	6	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V4"	"P2"	"monofide"	265	NA	NA	7.1	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V4"	"P3"	"monofide"	226.29	NA	NA	4.66	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V4"	"P4"	"monofide"	215.25	NA	NA	5.47	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V4"	"P5"	"monofide"	166.35	NA	NA	3.92	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V4"	"P6"	"monofide"	353.7	NA	NA	7	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V4"	"P7"	"monofide"	341	NA	NA	4.9	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V4"	"P8"	"monofide"	229.51	NA	NA	5.84	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V4"	"P9"	"monofide"	241.1	NA	NA	4.48	NA	NA
"20675"	"Heterosais"	"nephele"	"f"	"V4"	"P10"	"monofide"	190.66	NA	NA	4.85	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V3"	"P4"	"monofide"	362.3	NA	NA	9.9	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V3"	"P5"	"monofide"	183.11	NA	NA	4.48	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V3"	"P6"	"monofide"	192.99	NA	NA	4.95	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V3"	"P7"	"monofide"	213.06	NA	NA	5.04	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V3"	"P8"	"monofide"	158.49	NA	NA	3.63	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V3"	"P9"	"monofide"	239.55	NA	NA	5.89	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V3"	"P10"	"monofide"	110.42	NA	NA	4.59	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V4"	"P1"	"monofide"	279	NA	NA	5.2	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V4"	"P2"	"monofide"	203.68	NA	NA	4.46	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V4"	"P3"	"monofide"	174.67	NA	NA	4.22	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V4"	"P4"	"monofide"	266.4	NA	NA	5.2	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V4"	"P5"	"monofide"	229.92	NA	NA	4.97	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V4"	"P6"	"monofide"	283.7	NA	NA	5	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V4"	"P7"	"monofide"	177.45	NA	NA	4.65	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V4"	"P8"	"monofide"	182.75	NA	NA	5.04	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V4"	"P9"	"monofide"	143.67	NA	NA	4.45	NA	NA
"20680"	"Heterosais"	"nephele"	"f"	"V4"	"P10"	"monofide"	159.05	NA	NA	4.37	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V3"	"P6"	"monofide"	142.65	NA	NA	4.15	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V3"	"P7"	"monofide"	192.3	NA	NA	4.85	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V3"	"P8"	"monofide"	190.2	NA	NA	5.34	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V3"	"P9"	"monofide"	252.1	NA	NA	5.7	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V3"	"P10"	"monofide"	257.3	NA	NA	6	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V4"	"P1"	"monofide"	209.79	NA	NA	5.42	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V4"	"P2"	"monofide"	231.36	NA	NA	5.11	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V4"	"P3"	"monofide"	281.5	NA	NA	5.8	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V4"	"P4"	"monofide"	237.58	NA	NA	5.6	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V4"	"P5"	"monofide"	278.2	NA	NA	5.8	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V4"	"P6"	"monofide"	288.8	NA	NA	5.9	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V4"	"P7"	"monofide"	220.41	NA	NA	5.39	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V4"	"P8"	"monofide"	280.6	NA	NA	5.4	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V4"	"P9"	"monofide"	297.2	NA	NA	4.9	NA	NA
"20778"	"Heterosais"	"nephele"	"f"	"V4"	"P10"	"monofide"	246.24	NA	NA	5.66	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V3"	"P6"	"monofide"	153.33	NA	NA	4.39	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V3"	"P7"	"monofide"	169.61	NA	NA	4.77	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V3"	"P8"	"monofide"	148.84	NA	NA	4.66	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V3"	"P9"	"monofide"	130.85	NA	NA	4.4	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V3"	"P10"	"monofide"	159.15	NA	NA	4.79	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V4"	"P1"	"monofide"	261.7	NA	NA	5.2	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V4"	"P2"	"monofide"	238.45	NA	NA	5.38	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V4"	"P3"	"monofide"	206.92	NA	NA	4.95	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V4"	"P4"	"monofide"	237.6	NA	NA	6	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V4"	"P5"	"monofide"	184.61	NA	NA	5.76	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V4"	"P6"	"monofide"	244.9	NA	NA	5.8	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V4"	"P7"	"monofide"	261.1	NA	NA	5.7	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V4"	"P8"	"monofide"	161.95	NA	NA	4.79	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V4"	"P9"	"monofide"	283	NA	NA	6.9	NA	NA
"GL07-179"	"Heterosais"	"nephele"	"f"	"V4"	"P10"	"monofide"	219.7	NA	NA	3.8	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V3"	"P6"	"monofide"	232.04	NA	NA	4.86	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V3"	"P7"	"monofide"	180.76	NA	NA	4.9	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V3"	"P8"	"monofide"	271.7	NA	NA	6.4	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V3"	"P9"	"monofide"	248.75	NA	NA	5.49	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V3"	"P10"	"monofide"	206.72	NA	NA	4.86	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V4"	"P1"	"monofide"	292.9	NA	NA	5	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V4"	"P2"	"monofide"	223.03	NA	NA	4.71	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V4"	"P3"	"monofide"	182.74	NA	NA	4.79	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V4"	"P4"	"monofide"	238.14	NA	NA	5.54	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V4"	"P5"	"monofide"	229.68	NA	NA	4.95	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V4"	"P6"	"monofide"	223	NA	NA	5.03	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V4"	"P7"	"monofide"	192.38	NA	NA	5.38	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V4"	"P8"	"monofide"	295.1	NA	NA	5.9	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V4"	"P9"	"monofide"	264.5	NA	NA	5	NA	NA
"GL07-181"	"Heterosais"	"nephele"	"m"	"V4"	"P10"	"monofide"	242.24	NA	NA	5.39	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V3"	"P6"	"monofide"	215.81	NA	NA	3.97	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V3"	"P7"	"monofide"	232.91	NA	NA	5.62	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V3"	"P8"	"monofide"	191.33	NA	NA	5.13	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V3"	"P9"	"monofide"	272.9	NA	NA	4.9	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V3"	"P10"	"monofide"	251.4	NA	NA	5.3	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V4"	"P1"	"monofide"	254.6	NA	NA	5	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V4"	"P2"	"monofide"	164.1	NA	NA	6	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V4"	"P3"	"monofide"	264.8	NA	NA	5.9	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V4"	"P4"	"monofide"	277.3	NA	NA	6	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V4"	"P5"	"monofide"	270.9	NA	NA	5.5	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V4"	"P6"	"monofide"	294.8	NA	NA	4.9	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V4"	"P7"	"monofide"	304	NA	NA	5.2	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V4"	"P8"	"monofide"	302.3	NA	NA	4.9	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V4"	"P9"	"monofide"	281.4	NA	NA	5.9	NA	NA
"GL07-182"	"Heterosais"	"nephele"	"m"	"V4"	"P10"	"monofide"	288.1	NA	NA	5.9	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V3"	"P6"	"monofide"	183.75	NA	NA	4.62	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V3"	"P7"	"monofide"	229.6	NA	NA	5.26	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V3"	"P8"	"monofide"	174.66	NA	NA	4.33	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V3"	"P9"	"monofide"	178.32	NA	NA	4.53	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V3"	"P10"	"monofide"	292.2	NA	NA	5.2	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V4"	"P1"	"monofide"	205.2	NA	NA	5.2	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V4"	"P2"	"monofide"	223.3	NA	NA	3.7	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V4"	"P3"	"monofide"	198.2	NA	NA	4.7	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V4"	"P4"	"monofide"	263.3	NA	NA	5.4	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V4"	"P5"	"monofide"	213.5	NA	NA	5.2	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V4"	"P6"	"monofide"	269.6	NA	NA	5.7	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V4"	"P7"	"monofide"	282.1	NA	NA	6.1	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V4"	"P8"	"monofide"	337.8	NA	NA	5.9	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V4"	"P9"	"monofide"	317.8	NA	NA	6.6	NA	NA
"GL07-183"	"Heterosais"	"nephele"	"m"	"V4"	"P10"	"monofide"	218.2	NA	NA	4.6	NA	NA
"20385"	"Ithomia"	"agnosia"	"m"	"V3"	"P1"	"monofide"	262.9	NA	NA	3.7	NA	NA
"20385"	"Ithomia"	"agnosia"	"m"	"V3"	"P3"	"monofide"	190.1	NA	NA	3	NA	NA
"20385"	"Ithomia"	"agnosia"	"m"	"V3"	"P5"	"monofide"	151.35	NA	NA	3.01	NA	NA
"20385"	"Ithomia"	"agnosia"	"m"	"V3"	"P7"	"monofide"	150.84	NA	NA	3.31	NA	NA
"20385"	"Ithomia"	"agnosia"	"m"	"V3"	"P9"	"monofide"	302	NA	NA	3.6	NA	NA
"20385"	"Ithomia"	"agnosia"	"m"	"V4"	"P7"	"monofide"	232.01	NA	NA	3.81	NA	NA
"20385"	"Ithomia"	"agnosia"	"m"	"V4"	"P1"	"monofide"	232.6	NA	NA	4.5	NA	NA
"20385"	"Ithomia"	"agnosia"	"m"	"V4"	"P3"	"monofide"	200.27	NA	NA	4.5	NA	NA
"20385"	"Ithomia"	"agnosia"	"m"	"V4"	"P5"	"monofide"	258.1	NA	NA	4	NA	NA
"20385"	"Ithomia"	"agnosia"	"m"	"V4"	"P9"	"monofide"	197.6	NA	NA	4.1	NA	NA
"20711"	"Ithomia"	"agnosia"	"f"	"V3"	"P1"	"monofide"	181.8	NA	NA	3.8	NA	NA
"20711"	"Ithomia"	"agnosia"	"f"	"V3"	"P2"	"monofide"	177.8	NA	NA	3.7	NA	NA
"20711"	"Ithomia"	"agnosia"	"f"	"V3"	"P3"	"monofide"	176.2	NA	NA	3.2	NA	NA
"20711"	"Ithomia"	"agnosia"	"f"	"V3"	"P4"	"monofide"	132	NA	NA	3.39	NA	NA
"20711"	"Ithomia"	"agnosia"	"f"	"V3"	"P5"	"monofide"	165.77	NA	NA	3.26	NA	NA
"20711"	"Ithomia"	"agnosia"	"f"	"V4"	"P6"	"monofide"	219.7	NA	NA	3.3	NA	NA
"20711"	"Ithomia"	"agnosia"	"f"	"V4"	"P7"	"monofide"	212	NA	NA	3.8	NA	NA
"20711"	"Ithomia"	"agnosia"	"f"	"V4"	"P8"	"monofide"	183.84	NA	NA	4.18	NA	NA
"20711"	"Ithomia"	"agnosia"	"f"	"V4"	"P9"	"monofide"	161.81	NA	NA	3.51	NA	NA
"20711"	"Ithomia"	"agnosia"	"f"	"V4"	"P10"	"monofide"	157.53	NA	NA	3.97	NA	NA
"20773"	"Ithomia"	"agnosia"	"f"	"V3"	"P6"	"monofide"	154.14	NA	NA	4.43	NA	NA
"20773"	"Ithomia"	"agnosia"	"f"	"V3"	"P7"	"monofide"	184.55	NA	NA	3.09	NA	NA
"20773"	"Ithomia"	"agnosia"	"f"	"V3"	"P8"	"monofide"	165.58	NA	NA	3.17	NA	NA
"20773"	"Ithomia"	"agnosia"	"f"	"V3"	"P9"	"monofide"	146.16	NA	NA	3.18	NA	NA
"20773"	"Ithomia"	"agnosia"	"f"	"V3"	"P10"	"monofide"	154.92	NA	NA	3.49	NA	NA
"20773"	"Ithomia"	"agnosia"	"f"	"V4"	"P6"	"monofide"	246.03	NA	NA	4.3	NA	NA
"20773"	"Ithomia"	"agnosia"	"f"	"V4"	"P7"	"monofide"	178.56	NA	NA	4.68	NA	NA
"20773"	"Ithomia"	"agnosia"	"f"	"V4"	"P8"	"monofide"	152.56	NA	NA	4.71	NA	NA
"20773"	"Ithomia"	"agnosia"	"f"	"V4"	"P9"	"monofide"	153.37	NA	NA	4.5	NA	NA
"20773"	"Ithomia"	"agnosia"	"f"	"V4"	"P10"	"monofide"	172.43	NA	NA	4.16	NA	NA
"CP17-1"	"Ithomia"	"agnosia"	"f"	"V3"	"P1"	"monofide"	201.8	NA	NA	3.61	NA	NA
"CP17-1"	"Ithomia"	"agnosia"	"f"	"V3"	"P3"	"monofide"	171.36	NA	NA	3.98	NA	NA
"CP17-1"	"Ithomia"	"agnosia"	"f"	"V3"	"P5"	"monofide"	164.94	NA	NA	3.07	NA	NA
"CP17-1"	"Ithomia"	"agnosia"	"f"	"V3"	"P7"	"monofide"	169.31	NA	NA	3.74	NA	NA
"CP17-1"	"Ithomia"	"agnosia"	"f"	"V3"	"P9"	"monofide"	184.79	NA	NA	3.58	NA	NA
"CP17-1"	"Ithomia"	"agnosia"	"f"	"V4"	"P1"	"monofide"	213.46	NA	NA	4.13	NA	NA
"CP17-1"	"Ithomia"	"agnosia"	"f"	"V4"	"P3"	"monofide"	134.98	NA	NA	3.58	NA	NA
"CP17-1"	"Ithomia"	"agnosia"	"f"	"V4"	"P4"	"monofide"	140.87	NA	NA	3.36	NA	NA
"CP17-1"	"Ithomia"	"agnosia"	"f"	"V4"	"P5"	"monofide"	200.16	NA	NA	3.94	NA	NA
"CP17-1"	"Ithomia"	"agnosia"	"f"	"V4"	"P6"	"monofide"	183.68	NA	NA	3.74	NA	NA
"CP17-3"	"Ithomia"	"agnosia"	"f"	"V3"	"P6"	"monofide"	164.9	NA	NA	3.64	NA	NA
"CP17-3"	"Ithomia"	"agnosia"	"f"	"V3"	"P7"	"monofide"	150.77	NA	NA	3.4	NA	NA
"CP17-3"	"Ithomia"	"agnosia"	"f"	"V3"	"P8"	"monofide"	134.42	NA	NA	3.02	NA	NA
"CP17-3"	"Ithomia"	"agnosia"	"f"	"V3"	"P9"	"monofide"	137.87	NA	NA	3.2	NA	NA
"CP17-3"	"Ithomia"	"agnosia"	"f"	"V3"	"P10"	"monofide"	132.7	NA	NA	3.11	NA	NA
"CP17-3"	"Ithomia"	"agnosia"	"f"	"V4"	"P6"	"monofide"	230.8	NA	NA	4.7	NA	NA
"CP17-3"	"Ithomia"	"agnosia"	"f"	"V4"	"P7"	"monofide"	184.73	NA	NA	3.71	NA	NA
"CP17-3"	"Ithomia"	"agnosia"	"f"	"V4"	"P8"	"monofide"	160.54	NA	NA	3.71	NA	NA
"CP17-3"	"Ithomia"	"agnosia"	"f"	"V4"	"P9"	"monofide"	161.16	NA	NA	2.99	NA	NA
"CP17-3"	"Ithomia"	"agnosia"	"f"	"V4"	"P10"	"monofide"	127.73	NA	NA	3.64	NA	NA
"CP17-16"	"Ithomia"	"agnosia"	"m"	"V3"	"P6"	"monofide"	151.8	NA	NA	3.04	NA	NA
"CP17-16"	"Ithomia"	"agnosia"	"m"	"V3"	"P7"	"monofide"	164	NA	NA	3.43	NA	NA
"CP17-16"	"Ithomia"	"agnosia"	"m"	"V3"	"P8"	"monofide"	182.75	NA	NA	3.39	NA	NA
"CP17-16"	"Ithomia"	"agnosia"	"m"	"V3"	"P9"	"monofide"	183.24	NA	NA	3.29	NA	NA
"CP17-16"	"Ithomia"	"agnosia"	"m"	"V3"	"P10"	"monofide"	198.97	NA	NA	3.61	NA	NA
"CP17-16"	"Ithomia"	"agnosia"	"m"	"V4"	"P6"	"monofide"	171.89	NA	NA	4.32	NA	NA
"CP17-16"	"Ithomia"	"agnosia"	"m"	"V4"	"P7"	"monofide"	180.39	NA	NA	4.12	NA	NA
"CP17-16"	"Ithomia"	"agnosia"	"m"	"V4"	"P8"	"monofide"	137.18	NA	NA	3.34	NA	NA
"CP17-16"	"Ithomia"	"agnosia"	"m"	"V4"	"P9"	"monofide"	202.4	NA	NA	4.26	NA	NA
"CP17-16"	"Ithomia"	"agnosia"	"m"	"V4"	"P10"	"monofide"	136.77	NA	NA	3.85	NA	NA
"CP17-17"	"Ithomia"	"agnosia"	"m"	"V3"	"P6"	"monofide"	161.26	NA	NA	3.66	NA	NA
"CP17-17"	"Ithomia"	"agnosia"	"m"	"V3"	"P7"	"monofide"	131.48	NA	NA	3.4	NA	NA
"CP17-17"	"Ithomia"	"agnosia"	"m"	"V3"	"P8"	"monofide"	143.18	NA	NA	3.78	NA	NA
"CP17-17"	"Ithomia"	"agnosia"	"m"	"V3"	"P9"	"monofide"	177.77	NA	NA	3.45	NA	NA
"CP17-17"	"Ithomia"	"agnosia"	"m"	"V3"	"P10"	"monofide"	149.08	NA	NA	4.16	NA	NA
"CP17-17"	"Ithomia"	"agnosia"	"m"	"V4"	"P6"	"monofide"	169.64	NA	NA	3.62	NA	NA
"CP17-17"	"Ithomia"	"agnosia"	"m"	"V4"	"P7"	"monofide"	147.7	NA	NA	3.81	NA	NA
"CP17-17"	"Ithomia"	"agnosia"	"m"	"V4"	"P8"	"monofide"	253.45	NA	NA	4.62	NA	NA
"CP17-17"	"Ithomia"	"agnosia"	"m"	"V4"	"P9"	"monofide"	142.72	NA	NA	4.27	NA	NA
"CP17-17"	"Ithomia"	"agnosia"	"m"	"V4"	"P10"	"monofide"	222.51	NA	NA	4.22	NA	NA
"ME10-225"	"Ithomia"	"agnosia"	"m"	"V3"	"P6"	"monofide"	164.4	NA	NA	3.75	NA	NA
"ME10-225"	"Ithomia"	"agnosia"	"m"	"V3"	"P7"	"monofide"	210.14	NA	NA	3.48	NA	NA
"ME10-225"	"Ithomia"	"agnosia"	"m"	"V3"	"P8"	"monofide"	149.96	NA	NA	3.29	NA	NA
"ME10-225"	"Ithomia"	"agnosia"	"m"	"V3"	"P9"	"monofide"	130.44	NA	NA	3.41	NA	NA
"ME10-225"	"Ithomia"	"agnosia"	"m"	"V3"	"P10"	"monofide"	129.3	NA	NA	3.29	NA	NA
